"Date","Price","Open","High","Low","Vol.","Change %"
"04/22/2014","1,879.55","1,872.57","1,884.89","1,872.57","","0.41%"
"04/21/2014","1,871.89","1,865.79","1,871.89","1,863.18","","0.38%"
"04/17/2014","1,864.85","1,861.73","1,869.63","1,856.72","","0.14%"
"04/16/2014","1,862.31","1,846.01","1,862.31","1,846.01","","1.05%"
"04/15/2014","1,842.98","1,831.45","1,844.02","1,816.29","","0.68%"
"04/14/2014","1,830.61","1,818.18","1,834.19","1,815.80","","0.82%"
"04/11/2014","1,815.69","1,830.65","1,835.07","1,814.36","","-0.95%"
"04/10/2014","1,833.08","1,872.28","1,872.53","1,830.87","","-2.09%"
"04/09/2014","1,872.18","1,852.64","1,872.43","1,852.38","","1.09%"
"04/08/2014","1,851.96","1,845.48","1,854.95","1,837.49","","0.38%"
"04/07/2014","1,845.04","1,863.92","1,864.04","1,841.48","","-1.08%"
"04/04/2014","1,865.09","1,890.25","1,897.28","1,863.26","","-1.25%"
"04/03/2014","1,888.77","1,891.43","1,893.80","1,882.65","","-0.11%"
"04/02/2014","1,890.90","1,886.61","1,893.17","1,883.79","","0.29%"
"04/01/2014","1,885.52","1,873.96","1,885.84","1,873.96","","0.70%"
"03/31/2014","1,872.34","1,859.16","1,875.18","1,859.16","","0.79%"
"03/28/2014","1,857.62","1,850.07","1,866.63","1,850.07","","0.46%"
"03/27/2014","1,849.04","1,852.11","1,855.55","1,842.11","","-0.19%"
"03/26/2014","1,852.56","1,867.09","1,875.92","1,852.56","","-0.70%"
"03/25/2014","1,865.62","1,859.48","1,871.87","1,855.96","","0.44%"
"03/24/2014","1,857.44","1,867.67","1,873.34","1,849.69","","-0.49%"
"03/21/2014","1,866.52","1,874.53","1,883.97","1,863.46","","-0.29%"
"03/20/2014","1,872.01","1,860.09","1,873.49","1,854.63","","0.60%"
"03/19/2014","1,860.77","1,872.25","1,874.14","1,850.35","","-0.61%"
"03/18/2014","1,872.25","1,858.92","1,873.76","1,858.92","","0.72%"
"03/17/2014","1,858.83","1,842.81","1,862.30","1,842.81","","0.96%"
"03/14/2014","1,841.13","1,845.07","1,852.44","1,839.57","","-0.28%"
"03/13/2014","1,846.34","1,869.06","1,874.40","1,841.86","","-1.17%"
"03/12/2014","1,868.20","1,866.15","1,868.38","1,854.38","","0.03%"
"03/11/2014","1,867.63","1,878.26","1,882.35","1,863.88","","-0.51%"
"03/10/2014","1,877.17","1,877.86","1,877.87","1,867.04","","-0.05%"
"03/07/2014","1,878.04","1,878.52","1,883.57","1,870.56","","0.05%"
"03/06/2014","1,877.03","1,874.18","1,881.94","1,874.18","","0.17%"
