Date,Scores,Normalized_Scores
2016-06-05,0.296,0.6537855290588295
2016-06-05,-0.4939,0.2521482686734123
2016-06-05,-0.7717,0.11089642548431378
2016-06-05,0.0,0.5032796054304164
2016-06-04,0.128,0.568363248080541
2016-06-04,0.296,0.6537855290588295
2016-06-04,-0.5574,0.21986068032745204
2016-06-04,0.2023,0.6061422687751055
2016-06-04,-0.5994,0.1985051100828799
2016-06-03,-0.7003,0.14720089490008637
2016-06-03,0.3612,0.6869375095337367
2016-06-03,-0.5267,0.23547058524431785
2016-06-03,-0.5423,0.22753851629633393
2016-06-03,-0.5994,0.1985051100828799
2016-06-02,0.0,0.5032796054304164
2016-06-02,0.2484,0.6295825494483144
2016-06-02,0.25,0.6303960949814409
2016-06-02,0.0,0.5032796054304164
2016-06-02,-0.9001,0.04560939645090756
